job_id,title,company,requirements,preferred,division,category,filtered_division,requirements_preferred
216,[국비지원/숙식무료]AI/빅데이터/풀스택/KDT심화,휴먼교육센터,,,5가지 차별화 무료교육,"IT학원, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 인터페이스, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 데이터마이닝, OLAP개발자, 데이터관리, 빅데이터, 데이터레이크, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 네트워크관리, 보안관제, 정보보안, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 증강현실, 클라이언트, 시스템분석, 시스템설계, 펌웨어, 인공지능, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 웹마스터, GUI","백엔드 개발자, 프론트엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, DBA, 데이터 엔지니어, 데이터 사이언티스트, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, AI/ML 엔지니어, 클라우드 엔지니어, 웹 퍼블리셔, QA",
218,[정규직] 응용프로그램 개발 (신입/경력) (파워빌더 개발) 모집,㈜세일코리아넷,"초대졸이상, 경력 5년 이하, 커뮤니케이션, 연구",,사내 ERP 개발 및 유지보수(O명),"SI개발, 콜센터, 시스템분석, SI개발, 클라이언트, SI개발, 시스템설계, 아웃소싱","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자","초대졸이상, 경력 5년 이하, 커뮤니케이션, 연구"
220,[IBK기업은행/웹케시] 기업은행팀 은행 프로그램 컨설턴트 채용 안내,㈜피엔에이링크,"커뮤니케이션, 전산",,"[유지운영]
(0명)","솔루션영업, SI개발, 솔루션, 시스템운영, SI, 서버관리, 서버구축, 시스템분석, ERP, 서버관리, 클라이언트, 소프트웨어개발, 기술지원","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자","커뮤니케이션, 전산"
222,2026년 상반기 아이센스 대규모 채용,㈜아이센스,"대졸이상, 경력 3년 이하, 운전가능자",,국내영업(간호사),"건강, 바이오, 의료기기, 시장분석, 시장조사, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, PM, 문서관리, 문서작성, 전산입력, 사이트관리, 자료조사, 행정, 관리회계, 원가회계, 재무회계, 전산회계, 전표입력, ERP운용, 계산서발행, 기업회계, 고객관리, 매출관리, 프로모션, 서버관리, 클라이언트, 핀테크, HTTP, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 서버관리, 네트워크관리, 방화벽, 보안관제, 정보보안, 시스템분석, 시스템설계, 아키텍처, 인공지능, 검증, 테스터, 외자구매, 자재구매, 구매계약, 상품입출고, 외주관리, 바이어개발, 수출입계약, 영어, 해외마케팅, 기술영업, 기술지원, 네트워크영업, 시스템영업, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 대리점관리, 영업기획, 데이터분석, 영업전략, 고객지원, 접수·예약, 기술상담, 단순안내, 민원상담, 온라인상담, 이메일상담, 전화상담, 고객경험관리, A·S상담, 자동제어, PLC, 유지보수, 정보통신, 통신설비, 자동제어, 공정개발, 자동화라인, 품질테스트, 전기·전자, 정보통신·IT, 제품개발, R&D, 생산관리, 품질보증, HACCP, ISO, 검증, 품질보증, 환경관리, HACCP, ISO","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, 데이터 사이언티스트, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, AI/ML 엔지니어, 클라우드 엔지니어, QA","대졸이상, 경력 3년 이하, 운전가능자"
282,"6월 윈스테크넷 월간채용(신입) - 보안관제, 개발, QC, 엔지니어, 영업",㈜윈스테크넷,"교대근무, 네트워크, 정보보안",정보보호,"보안관제 - 00명 - 수도권 (서울 목동, 마곡, 인천 송도, 경기 과천, 경기 안양 등)","솔루션영업, SI개발, 네트워크보안, 방화벽, 서버관리, 기술영업, 시스템영업, 해킹, 보안관제, 정보보안, 네트워크영업, 방화벽, 보안컨설팅, 네트워크관리, 정보보안","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, 보안 엔지니어, 소프트웨어 개발자, 클라우드 엔지니어","교대근무, 네트워크, 정보보안, 정보보호"
287,(주)아이씨디 ERP 시스템 개발자 채용,㈜아이씨디,대졸이상,"정보처리기사, 컴퓨터공학, 소프트웨어공학",ERP 및 MES시스템 개발자,"시스템운영, 서버관리, 서버구축, 디스플레이, 서버관리, 네트워크관리","백엔드 개발자, 시스템 엔지니어, 네트워크 엔지니어, 보안 엔지니어, 클라우드 엔지니어","대졸이상, 정보처리기사, 컴퓨터공학, 소프트웨어공학"
290,2026 지니언스 인재 채용,지니언스(주),"경력 3년 이상, 경력 7년 이상, 보안","분석, 보안",ES기술부,"네트워크보안, 보안소프트웨어, 정보보안, 경영기획, 사업기획, 재무기획, 데이터분석, 전략기획, 콘텐츠기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, 데이터분석, 데이터시각화, 네트워크관리, 방화벽, 보안관제, 정보보안, 핀테크, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 검증, 테스터, 거래선개발관리, 거래처관리, 고객관리, 매출관리, 영업기획, 데이터분석, 영업전략, 편집기자","백엔드 개발자, 프론트엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, DBA, 데이터 엔지니어, 데이터 사이언티스트, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, AI/ML 엔지니어, 클라우드 엔지니어, 웹 퍼블리셔, QA","경력 3년 이상, 경력 7년 이상, 보안, 분석"
299,[동국제약] 신입/경력 채용(글로벌/개발/디자인/영업/마케팅/관리 등 모집)  -6/10,동국제약㈜,"대졸이상, 경력 7년 이상","커뮤니케이션, 분석",건식 상품기획 및 개발,"고객관리, 관리회계, 제약영업, 패키지디자인, 거래처관리, 라이센싱, 생명공학, 재무회계, 전략기획, 시장조사, 잡화디자인, 전단지디자인, SI개발, 2D디자인, 바이오, 영업기획, 제약영업, 키워드광고, 프로모션, 디지털디자인, 재무회계, 브랜드기획, 신사업기획, 자금관리, 브랜딩, 시스템운영, 데이터분석, 브랜드디자인, 서버관리, 영업전략, 재무분석, 제휴마케팅, SI개발, 2D디자인, 사업기획, 서버구축, 시스템분석, 거래선개발관리, 매출관리, 바이럴마케팅, 잡화디자인, 재무기획, 제약, 키워드광고, 조직문화, 건강, 결산, 매출관리, 상품기획, 시스템설계, 정보디자인, 전략기획, 거래처관리, 교육기획, 시장분석, 데이터분석, 브랜드기획, 디지털디자인, 데이터분석, 디지털디자인, 전표입력, 법인결산, 의약, 회계감사, 서버관리, 클라이언트, 핀테크, 경영기획, 네트워크관리, 입출금관리, 전산회계, 패키지디자인, 디지털마케팅, 배너광고, 인사교육, HTTP, 국내영업, 시장분석, 원가회계, 이벤트기획","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, 데이터 사이언티스트, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, 클라우드 엔지니어","대졸이상, 경력 7년 이상, 커뮤니케이션, 분석"
318,스마트팩토리 백엔드 개발자 채용,삼익THK,"대졸이상, 경력 10년 이하, 로봇공학, 컴퓨터공학, 소프트웨어, 정보통신, Python, FastAPI, Flask, API, SQL, MySQL, MariaDB, PostgreSQL, DB, 데이터, Git","FastAPI, Django, API, 서버, PostgreSQL, 분석, Docker, 컨테이너, C#, PLC, 통신, 반도체",스마트팩토리 백엔드 개발자,"아키텍처설계, 스키마설계",,"대졸이상, 경력 10년 이하, 로봇공학, 컴퓨터공학, 소프트웨어, 정보통신, Python, FastAPI, Flask, API, SQL, MySQL, MariaDB, PostgreSQL, DB, 데이터, Git, Django, 서버, 분석, Docker, 컨테이너, C#, PLC, 통신, 반도체"
320,네오컨버전스(주) 플랫폼개발팀 개발 경력/신입 채용,네오컨버전스㈜,"초대졸이상, 경력 3년 이상, 커뮤니케이션, RDBMS, Redis, DB, Java, Spring Boot, API, Git","MariaDB, Redis, Linux, Ubuntu, 서버",Java 웹프로그래머 ( ○명 ),솔루션,,"초대졸이상, 경력 3년 이상, 커뮤니케이션, RDBMS, Redis, DB, Java, Spring Boot, API, Git, MariaDB, Linux, Ubuntu, 서버"
