job_id,company,position,requirements,preferred
352579,소울아트,NPU Software Engineer,"저희는 요건을 넘어, 문제 해결과 기술에 관심있는 다양한 사람들과 이야기하고 싶습니다.
• 사무실 대면근무
• 컴퓨터 구조에 대한 이해
• C, C++, Rust 등을 통한 개발 경험
• μs단위 최적화가 즐거우신 분
• 새로운 분야에 대한 탐구 및 도전이 즐거우신 분","우대사항에 대한 모든 업무를 담당하지 않으며 경험에 맞는 포지션 배치가 이루어집니다.
• AI 모델 최적화 경험
• Embedded NPU 사용 경험
• 특수 하드웨어를 통한 가속 경험 (AMD, intel, Snapdragon 등)
• 하드웨어 가속을 위한 커널 사용 경험 (CUDA, OpenCL 등)
• 최신 프레임워크 및 트렌드에 대한 이해"
363969,래브라도랩스,데이터 엔지니어,"자격 요건 (Qualifications)
* 경력: 데이터 처리 또는 데이터 엔지니어링 관련 실무 경력 0년 ~5년
* 기술 스택:
    * Python, Go 중 하나 이상의 언어에 능숙하신 분
    * SQL 및 NoSQL 데이터베이스에 대한 깊은 이해와 쿼리 최적화 경험이 있으신 분
    * Spark, Flink, Kafka, iceberg 등 빅데이터 처리 프레임워크 활용 능력을 갖추신 분
* 문제 해결 능력: 복잡한 데이터 구조를 분석하고, 비즈니스 요구사항에 맞는 데이터 스키마를 설계할 수 있는 역량","우대 사항 (Preferred Qualifications)
* AI 프로젝트 실무 경험:
    * LLM 파인튜닝 또는 RAG 시스템 구축을 위한 데이터 전처리 경험이 있으신 분
* LangChain, LlamaIndex 등 AI 오케스트레이션 도구 사용 경험이 있으신 분
* 클라우드 네이티브 환경: AWS, GCP, Azure 등 클라우드 운영 경험
* AI 협업 능력: Prompt Engineering에 익숙하거나, AI 모델러와의 원활한 소통을 통해 데이터 요건을 정의할 수 있는 분
* Mlopps/DataOps: 데이터 품질을 자동으로 검증하고 배포하는 CI/CD 파이프라인 구축 경험
* 컴퓨터 또는 인공지능 관련 전공자, 석박사 학위자 우대"
363758,피직스에이아이,[인턴] Software Engineer ( 소프트웨어 엔지니어 ),"• 경력 무관 (신입 지원 가능)
• 대학교졸업(4년)이상, 졸업 예정자 지원가능
• 컴퓨터공학·소프트웨어공학·전자공학 또는 관련 전공이신 분
• TypeScript / Dart / Python / C++ 중 1개 이상 능숙하신 분
• 웹 또는 모바일·데스크톱 앱 개발에 관심이 있고 학습 의지가 있으신 분
• Linux 환경에 익숙하신 분
• 협업 커뮤니케이션이 원활하신 분","• 웹 프레임워크 (React / Next.js / Node.js) 경험이 있으신 분
• 크로스플랫폼 앱 (Flutter / Dart) 개발 경험이 있으신 분
• 컴퓨터 비전·딥러닝 (PyTorch, OpenCV, ONNX / TensorRT) 학습 또는 프로젝트 경험이 있으신 분
• 임베디드 Linux·ROS2·C++ 경험이 있으신 분
• 자율주행·SLAM·내비게이션 알고리즘에 관심이 있으신 분
• NVIDIA Jetson 등 엣지 GPU 환경 경험이 있으신 분
• 오픈소스 기여 또는 개인 프로젝트 포트폴리오 보유하신 분"
286057,바카티오(Vacatio),[인턴] Frontend Engineer,"* 사용자 문제에 진정성 있게 몰입하고 경험을 개선한 경험이 있는 분
* 아이디어를 실행으로 옮겨 프로토타입서비스화까지 해본 분
* 성능 최적화와 품질 개선을 통해 UI를 눈에 띄게 발전시킨 경험이 있는 분
* AI 도구(예. Cursor)를 활용해 개발 효율을 극대화한 경험이 있는 분
* 팀의 프론트엔드 문화와 퍼포먼스를 함께 끌어올린 경험이 있는 분","* 진심을 다해 일할 수 있는 분이면 좋습니다.
* 안 되는 이유를 찾기보다 일단 실행하는 분이면 더 좋습니다.
* 우선순위에 기반해 중요한 한 가지 목표에 집중할 수 있는 분이면 더 좋습니다."
315350,딥아이,AI 기반 머신 비전 개발자,"• 컴퓨터비전, 머신러닝, 전자/광학 영상 처리에 대한 전반적인 이해
• 영상처리 및 분석 관련 라이브러리 활용 경험 (OpenCV, Numpy, Scikit-Image 등)
• 머신러닝/딥러닝 기반 영상 처리 모델 구현 (TensorFlow, PyTorch 등)
• 대규모 또는 고해상도 이미지 데이터 처리 경험
• 팀 프로젝트, 산학연구 또는 기업 연구 수행 경험","• 산업용 머신비전 시스템 개발 또는 영상 검사 시스템 실무 경험
• 이미지 AI 모델의 경량화 및 실시간 추론 최적화 경험
• AI 기반 자동 검사 시스템 개발 또는 실증 경험
• MLOps 환경 구성 및 운영 경험 (MLflow, Docker, Kubernetes, Airflow 등)
• 논문 구현 또는 오픈소스 알고리즘 재현 및 기술 리포트 작성 경험
• 광학 시스템 또는 영상 센서에 대한 이해"
363461,스피드플로어,[물류 자동화] 소프트웨어 개발자,"• 백엔드 또는 풀스택 개발 경력 5년 이상
• 분산 시스템 또는 실시간 이벤트 처리 아키텍처 설계 경험
• REST API 설계 및 외부 시스템 연동 경험
• 클라우드 인프라(AWS, GCP 등) 운영 경험
• 기술적 의사결정을 주도하고 팀을 이끌어본 경험","• 물류, 제조, 스마트팩토리, MES/WMS/TMS 관련 시스템 개발 경험
• MQTT 등 IoT 프로토콜 및 디바이스 연동 경험
• 스타트업 초기 멤버로 제품을 01로 만들어본 경험
• 기술 조직 빌딩 또는 개발팀 리딩 경험"
337720,캐리마텍,3D프린터 제어 프로그램 개발자,"• 컴퓨터 공학 또는 관련 분야 학사 학위 이상
• C++, Python 등 프로그래밍 언어에 대한 숙련도
• 3D 프린터 또는 관련 하드웨어 제어 경험","• 3D 프린터 소프트웨어 개발 경험
• 오픈 소스 프로젝트 기여 경험
• 팀 협업 및 커뮤니케이션 능력"
348483,에이티씨아이,소프트웨어 엔지니어 (Full Stack),"React / Next.js 기반 프론트엔드 개발 경험
Python 기반 백엔드 개발 경험 (FastAPI 또는 Django)
RESTful API 설계 및 구현 경험
JavaScript / TypeScript 활용 경험
Git을 활용한 버전 관리 및 협업 경험
관계형 데이터베이스(PostgreSQL 등)에 대한 기본 이해
HTML / CSS / 반응형 웹에 대한 이해
문제 해결 능력과 새로운 기술에 대한 학습 의지
팀원들과 원활하게 소통하고 협업할 수 있는 능력","Next.js App Router 기반 실서비스 개발 경험
FastAPI / Django 기반 서비스 개발 경험
TanStack Query, Zustand 등 상태 관리 라이브러리 경험
Docker / Kubernetes 환경에서의 개발 경험
GitHub Actions, GitLab, Jenkins 등 DevOps 파이프라인 경험
성능 최적화 및 대규모 리팩토링 경험
SaaS 또는 B2B 제품 개발 경험
마이크로서비스 구조 및 분산 시스템 이해
AI 개발 도구(Claude Code, Cursor, Copilot 등)를 활용한 개발 경험
코드 리뷰, 테스트 작성, 문서화 등 개발 문화에 익숙한 분"
349354,피피비스튜디오스(PPB Studios Co.),프론트엔드 (React Native),"• React Native 또는 React 기반 서비스 개발 경험이 있는 분
• JavaScript / TypeScript에 익숙한 분
• 모바일 앱 개발에 대한 기본적인 이해가 있는 분
• 기존 코드를 빠르게 파악하고 기능 개발로 연결할 수 있는 분
• 여러 프로젝트가 얽힌 환경에서도 차근차근 정리하며 개발할 수 있는 분
• 협업 과정에서 구현 중심으로 문제를 풀 수 있는 분
• 서비스 전환 과정에 참여하며 성장하고 싶은 분
• 단순 운영보다 구조 개선이 섞인 일을 해보고 싶은 분
• 앱과 웹을 아우르는 서비스 환경을 경험해보고 싶은 분","• Flutter 또는 Vue 프로젝트를 다뤄본 경험
• React Native 실서비스 배포/운영 경험
• 상태 관리 라이브러리 사용 경험
• 공통 컴포넌트 또는 디자인 시스템 구성 경험
• 레거시 개선이나 점진적 리팩터링 경험
• 앱 성능 개선, QA, 배포 경험
• 서비스를 정의하고 0부터 1까지 만들어본 경험
• AI를 활용해 제품 혹은 업무 성과를 개선해본 경험"
323359,라이너(Liner),ML Engineer - 전문연구요원(신규 편입/전직),"• AI 에이전트와 컴포넌트에 대한 이해가 깊고, 딥러닝/LLM 시스템 개발로 서비스 성장을 만들어보고 싶은 분
• 콘텐츠 기반 프로젝트(e.g. 검색, 추천, 광고 등)에서 문제를 정의하고 수행해보신 분
• 머신러닝 프로젝트를 상용 서비스에 배포해본 경험이 있는 분","• 딥러닝 알고리즘을 명확히 이해하고 대규모 서비스 적용 및 운영 경험이 있는 분
• 대규모 LLM 모델 등 최신 자연어 처리 기술의 연구·개발 및 상용화 경험이 있는 분
• AI 에이전트 기술 스택(데이터 변환, 모델 훈련, 워크플로우, 평가 등) 전반에 대한 이해와 개발 경험이 있는 분
• 다양한 직군·내외부 팀과 함께 문제를 정의하고 해결한 협업 경험이 있는 분"
